OTU,ARMS_Gdynia_GDY1_20190619_20191029_MF100_r1,ARMS_Gdynia_GDY1_20190619_20191029_SF38_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH_r1,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,ARMS_Bodo_GStraB_20190621_20201207_MF500_r1,ARMS_Bodo_GStraB_20190621_20201207_SF50_A_r1,ARMS_Bodo_GStraM_20190621_20201207_MF100_r1,ARMS_Bodo_GStraM_20190621_20201207_MF500_r1,ARMS_Bodo_GStraM_20190621_20201207_SF50_A_r1,ARMS_Vigo_TorallaC_20190625_20191014_SF40_r1,ARMS_Limfjord_Green33_20191029_20201110_MF100_r1,ARMS_Limfjord_Green33_20191029_20201110_MF500_r1,ARMS_Limfjord_Green33_20191029_20201110_SF40_r1,ARMS_Limfjord_Red2_20191029_20201110_MF100_r1,ARMS_Limfjord_Red2_20191029_20201110_MF500_r1,ARMS_Limfjord_Red2_20191029_20201110_SF40_r1,Classification,TAXON:NCBI_TAX_ID
Otu27,0,0,0,0,0,0,0,0,0,0,0,6,1757,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Craniata;Teleostei;NA;NA;NA;NA;NA,Teleostei:32443
Otu1008,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida;NA;NA;NA;NA;NA,Marimonadida:1736122
Otu1007,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Amoebozoa;Breviatea;Subulatomonas-lineage;NA;NA;NA;NA;NA;NA,Breviatea:1401294
Otu1004,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Nonionidae;Cribrostomoides;NA;NA;NA,Cribrostomoides:331054
Otu1005,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1002,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;NA;NA;NA;NA,Syndiniales:88547
Otu1001,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;NA;NA;NA;NA,Suessiaceae:89955
Otu969,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,Chromadorea:119089
Otu968,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA,Dinoflagellata:2864
Otu219,54,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,Chromadorea:119089
Otu218,0,0,0,0,16,92,33,5,84,12,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;NA;NA;NA;NA;NA;NA,Oomycota:4762
Otu749,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Ascidiacea;NA;NA;NA;NA;NA,Ascidiacea:7713
Otu215,90,0,0,0,33,0,0,27,1,0,0,2,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Itunella;NA;NA;NA,Itunella:512229
Otu214,52,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Radial-centric-basal-Coscinodiscophyceae;NA;NA;NA;NA;NA,Radial-centric-basal-Coscinodiscophyceae:33836
Otu217,0,0,0,0,2,83,0,44,37,0,0,0,0,0,0,1,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Enoplea;NA;NA;NA;NA;NA,Enoplea:119088
Otu216,4,7,0,0,21,114,23,6,4,47,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulvales-relatives;NA;NA;NA;NA;NA,Ulvophyceae:33103
Otu211,0,0,0,0,0,9,86,0,2,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,Dinophyceae:2864
Otu210,0,0,0,8,0,0,0,0,0,0,0,0,0,0,92,1,0,Main genome;Eukaryota;Alveolata;Ciliophora;Litostomatea;NA;NA;NA;NA;NA;NA,Litostomatea:5988
Otu213,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;NA;NA;NA;NA;NA,Bacillariophyta:2836
Otu1533,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1530,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Rhodophyta;Compsopogonophyceae;Erythropeltidales;NA;NA;NA;NA;NA,Erythropeltidales:31351
Otu691,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,Dinophyceae:2864
Otu693,0,0,0,0,4,5,0,0,9,1,0,0,0,2,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Microthamniales;Trebouxia;NA;NA;NA;NA,Trebouxia:13786
Otu1531,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,Chromadorea:119089
Otu695,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Marosporida;Rhytidocystidae;NA;NA;NA;NA,Rhytidocystidae:358186
Otu694,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;NA;NA;NA;NA,Syndiniales:88547
Otu697,0,0,0,0,0,9,0,0,10,1,0,0,0,0,0,0,4,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa-Ascetosporea;Haplosporida;NA;NA;NA;NA;NA,Haplosporida:31291
Otu696,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;NA;NA;NA;NA,Cephaloidophoridae:947083
Otu699,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;NA;NA;NA;NA,Cephaloidophoridae:947083
Otu43,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;NA;NA;NA;NA;NA;NA,Mollusca:6447
Otu1537,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;NA;NA;NA;NA,Syndiniales:88547
Otu361,7,0,0,0,2,38,4,0,31,3,0,0,0,14,0,0,23,Main genome;Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1A;NA;NA;NA;NA;NA,Stramenopiles:33634
Otu360,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Bryocamptus;NA;NA;NA,Bryocamptus:298465
Otu363,0,0,0,0,32,0,0,29,0,0,0,1,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu365,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1534,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Araphid-pennate;NA;NA;NA;NA;NA,Bacillariophyta:2836
Otu367,0,0,0,0,42,0,0,26,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Itunella;NA;NA;NA,Itunella:512229
Otu366,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;NA;NA;NA;NA;NA;NA;NA,Metazoa:33208
Otu369,0,0,0,0,0,8,0,1,41,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;GRE6;NA;NA;NA;NA;NA,Apicomplexa:5794
Otu368,0,0,0,0,6,54,19,7,66,8,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulvales-relatives;Halochlorococcum;NA;NA;NA;NA,Halochlorococcum:230556
Otu40,1,0,0,0,76,1232,0,53,1284,250,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;NA;NA;NA;NA,Cephaloidophoridae:947083
Otu189,104,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Bacillaria;NA;NA;NA;NA,Bacillaria:3002
Otu188,0,0,0,0,0,11,0,0,0,0,2,0,1,106,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
Otu185,0,0,0,0,7,130,4,0,132,4,19,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;NA;NA;NA,Chloroparvula:2302916
Otu184,0,0,0,0,0,0,38,3,0,114,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Boreophyllum;birdiae;NA;Boreophyllum_birdiae,Boreophyllum_birdiae:1064586
Otu187,2,1,0,0,22,192,38,9,210,15,0,4,0,48,1,0,70,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;TAGIRI1-lineage;NA;NA;NA;NA,Ebriida:361424
Otu186,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;NA;NA;NA;NA,Heteroconchia:6599
Otu180,0,0,0,0,2,78,4,3,123,3,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;NA;NA;NA;NA;NA,Syndiniales:88547
Otu183,8,123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Epithemia;NA;NA;NA;NA,Epithemia:420972
Otu182,14,1,0,0,0,0,0,0,8,0,2,3,0,50,41,1,119,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,Dinophyceae:2864
Otu1828,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;NA;NA;NA;NA;NA,Demospongiae:6042
Otu1824,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Clade-G;NA;NA;NA;NA;NA,Chrysophyceae:2825
Otu1825,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Main genome;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae;NA;NA;NA;NA,Monosigidae:81529
Otu1826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;NA;NA;NA;NA;NA,Bacillariophyta:2836
Otu1827,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Main genome;Eukaryota;Stramenopiles;Sagenista;MAST-6;NA;NA;NA;NA;NA;NA,MAST-6:29322
Otu1820,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Main genome;Eukaryota;Amoebozoa;Lobosa;Tubulinea;Leptomyxida;NA;NA;NA;NA;NA,Leptomyxida:66524
Otu1821,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida;NA;NA;NA;NA;NA,Marimonadida:1736122
Otu1822,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Taeniacanthus;NA;NA;NA,Taeniacanthus:1109211
Otu1823,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;NA;NA;NA;NA;NA,Suctoria:39462
Otu985,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;NA;NA;NA;NA;NA,Apicomplexa:5794
Otu984,0,0,0,0,3,4,2,1,2,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;NA;NA;NA;NA;NA;NA,Ulvophyceae:33103
Otu986,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;NA;NA;NA;NA;NA,Chlorellales:35460
Otu981,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Polyplicariidae;NA;NA;NA;NA,Eugregarinorida:35087
Otu338,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,Dinophyceae:2864
Otu983,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;NA;NA;NA;NA;NA,Vampyrellida:1367446
Otu982,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;NA;NA;NA;NA;NA;NA,Trebouxiophyceae:75966
Otu988,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Harmothoe;NA;NA;NA;NA;NA,Harmothoe:46594
Otu488,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Chelicerata;Arachnida;NA;NA;NA;NA,Arachnida:6854
Otu489,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,16,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;Chaetoceros;NA;NA;NA;NA,Chaetoceros:49237
Otu1796,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;NA;NA;NA;NA,Syndiniales:88547
Otu1797,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;NA;NA;NA;NA;NA;NA;NA,Chlorophyta:3041
Otu1795,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;NA;NA;NA;NA;NA;NA,Mamiellophyceae:1035538
Otu1792,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,Crustacea:6657
Otu1793,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Sey055-lineage;NA;NA;NA;NA,Vampyrellida:1367446
Otu1790,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,Dinophyceae:2864
Otu1791,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastigaceae-B;NA;NA;NA,Dolichomastigaceae:1525217
Otu1798,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
Otu1644,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;NA;NA;NA;NA;NA;NA;NA,Fungi:4751
Otu1645,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
Otu1647,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Hydrozoa;Opercularella;NA;NA;NA;NA,Opercularella:314530
Otu1640,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,Chromadorea:119089
Otu1641,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Foraminifera;Monothalamids;NA;NA;NA;NA;NA;NA,Monothalamids:1505960
Otu1642,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;NA;NA;NA;NA,Malacostraca:6681
Otu1643,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,1,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;NA;NA;NA,Gyrodinium:60594
Otu1649,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;TAGIRI1-lineage;NA;NA;NA;NA,Ebriida:361424
Otu58,237,997,0,0,619,412,562,616,96,626,2,7,28,460,1,2,26,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Phaeophyceae;Ectocarpus;NA;NA;NA;NA;NA,Ectocarpus:2879
Otu59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,934,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Uradiphoridae;NA;NA;NA;NA,Eugregarinorida:35087
Otu50,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Entoprocta;Barentsia;NA;NA;NA;NA;NA,Barentsia:43125
Otu51,958,391,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Sinelobus;NA;NA;NA,Sinelobus:992985
Otu52,0,0,0,0,983,199,312,2,263,21,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;NA;NA;NA;NA,Cephaloidophoridae:947083
Otu53,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,247,411,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;NA;NA;NA;NA;NA;NA,Arthropoda:6656
Otu54,0,0,0,0,950,0,0,106,0,0,0,0,2,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Ostracoda;Cythere;NA;NA;NA,Cythere:182576
Otu55,0,0,0,0,27,23,0,7,0,0,0,11,992,0,89,198,3,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Thoralus;NA;NA;NA,Thoralus:576235
Otu1253,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Amphifilida;Amphifilaceae;NA;NA;NA;NA,Amphifilaceae:1678346
Otu1252,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;NA;NA;NA;NA;NA,Hypotrichia:5934
Otu1250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;NA;NA;NA;NA,Eurotiomycetes:147545
Otu1257,0,0,0,0,2,1,0,0,0,0,0,3,2,0,5,1,1,Main genome;Eukaryota;Hacrobia;Telonemia;Telonemia-Group-1;NA;NA;NA;NA;NA;NA,Telonemia:660925
Otu1256,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;NA;NA;NA;NA,Chytridiomycetes:451435
Otu1255,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;NA;NA;NA;NA,Lecudinidae:158377
Otu1254,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Foraminifera;Monothalamids;Allogromiina;NA;NA;NA;NA;NA,Monothalamids:1505960
Otu1258,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,Main genome;Eukaryota;Rhizaria;Foraminifera;Allogromida;NA;NA;NA;NA;NA;NA,Allogromida:196920
Otu1495,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Selenidium1;sensimae;NA;NA;NA;Selenidium1_sensimae,Apicomplexa:5794
Otu1494,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Novel-Clade-2;NA;NA;NA;NA;NA,Filosa-Imbricatea:1736114
Otu1497,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;NA;NA;NA;NA;NA;NA;NA,Cercozoa:136419
Otu1496,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida;Actinocephalidae;NA;NA;NA;NA,Actinocephalidae:650287
Otu1491,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-12;NA;NA;NA;NA,Syndiniales:88547
Otu1490,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Phagomyxida;NA;NA;NA;NA;NA,Phagomyxida:2779610
Otu1499,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;NA;NA;NA;NA;NA;NA;NA;NA,Alveolata:33630
Otu1498,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,Eukaryota:2759
Otu1117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae;NA;NA;NA;NA,Thraustochytriaceae:33674
Otu1111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;NA;NA;NA;NA,Chloropicaceae:2302913
Otu435,0,0,0,0,1,10,0,0,25,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;GRE1;NA;NA;NA;NA;NA,Apicomplexa:5794
Otu434,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;NA;NA;NA;NA;NA;NA;NA,Metazoa:33208
Otu341,0,0,0,0,2,14,2,2,32,2,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;NA;NA;NA;NA;NA;NA;NA;NA,Opisthokonta:33154
Otu340,0,0,0,0,6,3,0,2,32,19,0,0,0,0,0,0,0,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Watanabea-Clade;NA;NA;NA;NA;NA,Watanabea-Clade:2511081
Otu347,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Microstomum;NA;NA;NA,Microstomum:52056
Otu961,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bowerbankia;NA;NA;NA;NA;NA,Bowerbankia:560978
Otu430,0,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Ostracoda;NA;NA;NA;NA,Ostracoda:6670
Otu960,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;NA;NA;NA;NA;NA,Peritrichia:6021
Otu512,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;NA;NA;NA;NA;NA,Bacillariophyta:2836
Otu513,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Acoelomorpha;Archaphanostoma;macrospiriferum;NA;Archaphanostoma_macrospiriferum,Archaphanostoma_macrospiriferum:996718
Otu510,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,15,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Novel-Clade-2;NA;NA;NA;NA;NA,Filosa-Imbricatea:1736114
