Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Monitoring area,Anthropogenic influence,IUCN habitat type,Description,Notes,ENVO_broad_scale,ENVO_medium_scale,ENVO_local_scale,add. info,MarineRegion_larger,MarineRegion_smaller
North Sea Skagerrak (Sweden),DNK,Laeso,Laeso1,57.25689,11.14193,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",none
North Sea Kattegat (Denmark),DNK,Laeso,Laeso2,57.25692,11.14197,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",none
North Sea Kattegat (Denmark),DNK,Laeso,Laeso3,57.25692,11.14199,10,10,Long-Term Ecological Research Site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",none
North Sea (Denmark),DNK,Limfjord,Red2,56.89985,9.05663333,4,4,Long-Term Ecological Research Site,LHI (Low human influence),9.7 - Macroalgal/kelp,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
North Sea (Denmark),DNK,Limfjord,Yellow8,56.90131667,9.05733333,4,4,Long-Term Ecological Research Site,LHI (Low human influence),9.7 - Macroalgal/kelp,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
North Sea (Denmark),DNK,Limfjord,Green33,56.90155,9.05516667,4,4,Long-Term Ecological Research Site,LHI (Low human influence),9.7 - Macroalgal/kelp,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",none,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
West Greenland (Greenland),GRL,Nuuk,Kobbefjord2,64.1404,-51.3904,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),none
West Greenland (Greenland),GRL,Nuuk,Kobbefjord1,64.1405,-51.3906,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),none
West Greenland (Greenland),GRL,Nuuk,Kobberfjord3,64.1408,-51.3908,10,15,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),none
British channel (UK),GBR,Plymouth,MBA2,50.350134,-4.159167,10,10,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",none,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,Plymouth Sound (http://marineregions.org/mrgid/24206),none
British channel (UK),GBR,Plymouth,MBA1B,50.3668,-4.1561,2,2,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",none,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),none
British channel (UK),GBR,Plymouth,MBA1A,50.3673,-4.1554,2,2,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",none,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),none
British channel (UK),GBR,Plymouth,MBA1,50.3674,-4.1552,1,1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],saline water [ENVO:00002010],ARMS was suspended below pontoon,Plymouth Sound (http://marineregions.org/mrgid/24206),none
British channel (UK),GBR,Plymouth,MBA1C,50.3674,-4.1544,2,2,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),none
Italy,ITA,RavHarbour,RavH3,44.421488,12.209497,1.5,1.5,Harbour,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),none
Italy,ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,1.5,Harbour,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),none
Italy,ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,1.5,Harbour,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),none
Italy,ITA,RavMarina,RavM2,44.492426,12.287623,1.5,1.5,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),none
Italy,ITA,RavMarina,RavM3,44.492426,12.287623,1.5,1.5,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),none
Italy,ITA,RavMarina,RavM1,44.492426,12.287623,1.5,1.5,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),none
British channel (France),FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,1,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),none
British channel (France),FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,1,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),none
British channel (France),FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,1,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),none
British channel (France),FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,12,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),none
British channel (France),FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,12,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),none
British channel (France),FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,12,Marine Protected Area,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),none
Antarctica (UK),GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,21,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky substratum,Marguerite Bay (http://marineregions.org/mrgid/10394),none
Antarctica (UK),GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,20,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky substratum,Marguerite Bay (http://marineregions.org/mrgid/10394),none
Antarctica (UK),GBR,Rothera,HangarCove1,-67.5641667,-68.1249667,12,12,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),none
Antarctica (UK),GBR,Rothera,HangarCove2,-67.5641667,-68.1249667,12,12,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),none
Antarctica (UK),GBR,Rothera,HangarCove3,-67.5641667,-68.1249667,12,12,Long-Term Ecological Research Site,LHI (Low human influence),not provided,not provided,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),none
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP4,54.482,8.395,not provided,not provided,not provided,protected,not provided,not provided,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),none
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP3,54.482,8.395,not provided,not provided,not provided,protected,not provided,not provided,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),none
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP2,54.482,8.395,not provided,not provided,not provided,protected,not provided,not provided,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),none
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP1,54.482,8.395,not provided,not provided,not provided,protected,not provided,not provided,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),none
Svalbard (Norway),NOR,Svalbard,S2,78.18833333,15.14472222,14,14,Long-Term Ecological Research Site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],"small rocks overlying mud, ",85G5 (http://marineregions.org/mrgid/42425),none
Svalbard (Norway),NOR,Svalbard,S1,78.21302778,15.23361111,14,14,Long-Term Ecological Research Site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),none
Svalbard (Norway),NOR,Svalbard,S1C,78.21302778,15.23361111,14,14,Long-Term Ecological Research Site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),none
Svalbard (Norway),NOR,Svalbard,S1B,78.21302778,15.23361111,14,14,Long-Term Ecological Research Site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),none
Svalbard (Norway),NOR,Svalbard,S1A,78.21302778,15.23361111,14,14,Long-Term Ecological Research Site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),none
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg2,56.018061,12.700541,2,2,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],,The Sound (http://marineregions.org/mrgid/24056),none
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg1,56.026272,12.695728,2,2,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],,The Sound (http://marineregions.org/mrgid/24056),none
North Sea Kattegat (Sweden),SWE,SWC,Varberg3,57.1107004,12.2439775,2,2,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),none
North Sea Kattegat (Sweden),SWE,SWC,Varberg2,57.1126278,12.2302732,2,2,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),none
North Sea Kattegat (Sweden),SWE,SWC,Varberg1,57.1133741,12.2299832,2,2,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),none
North Sea Kattegat (Sweden),SWE,SWC,Gbg2,57.664608,11.732876,5,5,Industrial port,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Gbg1,57.664805,11.714735,6,6,Industrial port,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Gbg3,57.680533,11.740578,5,5,Industrial port,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Gbg4,57.680805,11.728331,6,6,Industrial port,industrial,9.5 - Subtidal Sandy-Mud  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Hjuvik1,57.703221,11.711363,2,2,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Bjorko1,57.717984,11.679989,1.5,2,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Marstrand3,57.889278,11.585722,1,2,Marina,semi-industrial,9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Marstrand2,57.903512,11.581548,4,5,Marina,semi-industrial,9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Marstrand1,57.914434,11.594154,4,5,Marina,semi-industrial,9.3 - Subtidal Loose Rock/Pebble/Gravel  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),none
North Sea Kattegat (Sweden),SWE,SWC,Preemraff1,58.3533,11.43486,3,3,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],rocky reef [ENVO:00000130],,45G1 (http://marineregions.org/mrgid/42012),none
North Sea Kattegat (Sweden),SWE,SWC,Preemraff2,58.35405,11.43394,3,3,Industrial port,industrial,9.2 - Subtidal Rock and Rocky Reefs  ,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],rocky reef [ENVO:00000130],,45G1 (http://marineregions.org/mrgid/42012),none
Baltic Sea (Finland),FIN,TZS,Spikarna,59.81094,23.206216,3,3,Marine Protected Area; Long-Term Ecological Research Site,protected,9.3 - Subtidal loose rock/pebble/gravel,"Spikarna is a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat.",none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy and seagrass,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),none
Baltic Sea (Finland),FIN,TZS,Angbat,59.841505,23.248879,4,4,Marine Protected Area; Long-Term Ecological Research Site; continuous hydrographic monitoring,protected,9.4 - Subtidal Sandy,Angbatsbryggan is a vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,none,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),none
Baltic Sea (Finland),FIN,TZS,Kummelkobben,59.86442,23.265084,3,6,Long-Term Ecological Research Site; close to industrial port; continuous hydrographic monitoring,LHI (Low human influence),9.7 - Macroalgal/kelp,not provided,none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky bottom with Fucus,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),none
Atlantic coast (Spain),ESP,Vigo,TorallaA,42.2284,-8.7787,12,12,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",none,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),none
