Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,FieldReplicate,Fraction,Preservative,SequencingRunRepeat,SequencingRunComment,Filter,CrateCover,Number of images,Sequences available,SampleRep
SWE,Koster,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716_r1_s1,ARMS_Koster_VH1_20190527_20200716_MF100,no replicate,Motile,DMSO,first sequencing run,PCR amplification and sequencing will be repeated due to limited results obtained from these sequences,100,not provided,36,COI; ITS; 18S,s1
GRC,Crete,2UBPC,2020-11-20,2022-09-01,ARMS_Crete_2UBPC_20201120_20220901_r1_s1,ARMS_Crete_2UBPC_20201120_20220901_SF,no replicate,Sessile,Frozen,first sequencing run,Not provided,N/A (No filter was used),not provided,273,,s1
ESP,Vigo,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924_r1_s1,ARMS_Vigo_TorallaA_20180607_20180924_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,25,COI; 18S,s1
SWE,Koster,VH3,2021-06-08,2022-06-09,ARMS_Koster_VH3_20210608_20220609_r1_s1,ARMS_Koster_VH3_20210608_20220609_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s1
ESP,Vigo,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014_r1_s1,ARMS_Vigo_TorallaB_20190625_20191014_MF100,ARMS_Vigo_Toralla_20190625_20191014,Motile,DMSO,first sequencing run, ,100,not provided,18,COI; ITS; 18S,s1
ESP,Vigo,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014_r1_s1,ARMS_Vigo_TorallaA_20190625_20191014_MF500,ARMS_Vigo_Toralla_20190625_20191014,Motile,DMSO,first sequencing run,PCR amplification and sequencing will be repeated due to limited results obtained from these sequences,500,not provided,21,COI; ITS; 18S,s1
SWE,SWC,Varberg1,2020-02-13,2020-06-03,ARMS_SWC_Varberg1_20200213_20200603_r1_s1,ARMS_SWC_Varberg1_20200213_20200603_SF40,ARMS_SWC_Varberg_20200213_20200603,Sessile,DMSO,first sequencing run,Not provided,40,not provided,23,COI; ITS; 18S,s1
FIN,TZS,Kummelkobben,2021-06-08,2021-11-22,ARMS_TZS_Kummelkobben_20210608_20211122_r1_s1,ARMS_TZS_Kummelkobben_20210608_20211122_SF,no replicate,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,18,,s1
GRC,Crete,1HERP,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011_r1_s1,ARMS_Crete_1HERP_20190612_20191011_MF500,no replicate,Motile,Frozen,first sequencing run,Not provided,500,yes,156,COI; ITS; 18S,s1
DNK,Limfjord,Green33,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029_r1_s1,ARMS_Limfjord_Green33_20190618_20191029_SF40,ARMS_Limfjord_Limfjord_20190618_20191029,Sessile,DMSO,first sequencing run,Not provided,40,yes,28,COI; ITS; 18S,s1
FRA,Roscoff,BasBloS3,2020-05-29,2021-05-19,ARMS_Roscoff_BasBloS3_20200529_20210519_r1_s1,ARMS_Roscoff_BasBloS3_20200529_20210519_MF100,EMOBON_Roscoff_BasBloS_20200529_20210518,Motile,DMSO,first sequencing run,Not provided,100,Not provided,0,,s1
FRA,Roscoff,BasBloS3,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529_r1_s1,ARMS_Roscoff_BasBloS3_20190612_20200529_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,Sessile,DMSO,first sequencing run,Not provided,40,not provided,0,COI; ITS; 18S,s1
GBR,Plymouth,MBA1A,2019-07-16,2019-09-16,ARMS_Plymouth_MBA1A_20190716_20190916_r1_s1,ARMS_Plymouth_MBA1A_20190716_20190916_SF40,ARMS_Plymouth_MBA1_20190716_20190916,Sessile,DMSO,first sequencing run,Not provided,40,not provided,21,COI; ITS; 18S,s1
ESP,Vigo,TorallaC,2021-07-01,2021-10-09,ARMS_Vigo_TorallaC_20210701_20211009_r2_s1,ARMS_Vigo_TorallaC_20210701_20211009_SF,ARMS_Vigo_Toralla_20210701_20211009,Sessile,DMSO,second sequencing run (repeat),Not provided,not provided,Not provided,0,,s1
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF100_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
FRA,Roscoff,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918_r1_s1,ARMS_Roscoff_MarBloR3_20190612_20190918_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,Motile,DMSO,first sequencing run,Not provided,100,not provided,18,COI; ITS; 18S,s1
GBR,Rothera,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove_20190829_20220221_r1_s2,ARMS_Rothera_SouthCove_20190829_20220221_SF,no replicate,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s2
BEL,BelgiumCoast,CPowerA,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerA_20220622_20230905,ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF500_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
IRL,Galway,Gurr3,2020-07-23,2021-07-08,ARMS_Galway_Gurr3_20200723_20210708_r1_s1,ARMS_Galway_Gurr3_20200723_20210708_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,yes,21,COI; 18S,s1
GBR,Rothera,SouthCove1,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove_20190829_20220221_r1_s1,ARMS_Rothera_SouthCove_20190829_20220221_SF,no replicate,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s1
FIN,TZS,Angbat,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630_r1_s2,ARMS_TZS_Angbat_20210609_20220630_SF40_ETOH,no replicate,Sessile,EtOH,first sequencing run,Not provided,40,not provided,0,,s2
GBR,Plymouth,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001_r1_s1,ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,24,COI; 18S,s1
BEL,BelgiumCoast,AJJC81,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012_r1_s1,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,no,37,COI; ITS; 18S,s1
FRA,Roscoff,MarBloR3,2021-06-21,2021-10-13,ARMS_Roscoff_MarBloR3_20210621_20211013_r1_s1,ARMS_Roscoff_MarBloR3_20210621_20211013_SFA,EMOBON_Roscoff_MarBloR_20210621_20211011,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s1
ISR,Eilat,NR2,2020-12-27,2022-01-03,ARMS_Eilat_NR2_20201227_20220103_r2_s1,ARMS_Eilat_NR2_20201227_20220103_SF,ARMS_Eilat_NR_20201227_20211229,Sessile,DMSO,second sequencing run (repeat),Not provided,not provided,Not provided,0,,s1
BEL,BelgiumCoast,CPOWERB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_r1_s2,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s2
POL,Gdynia,GDY,2020-06-10,2021-12-22,ARMS_Gdynia_GDY_20200610_20211222_r1_s1,ARMS_Gdynia_GDY_20200610_20211222_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s1
FIN,TZS,Spikarna,2021-06-07,2021-11-22,ARMS_TZS_Spikarna_20210607_20211122_r1_s1,ARMS_TZS_Spikarna_20210607_20211122_MF100_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,18,,s1
Belgium,BelgiumCoast,CPowerB,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,ARMS_BelgiumCoast_CPowerB_20220622_20230905_SF40_1,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
ESP,Vigo,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006_r1_s1,ARMS_Vigo_TorallaC_20200706_20201006_SF40,ARMS_Vigo_Toralla_20200706_20201006,Sessile,DMSO,first sequencing run,Not provided,40,not provided,18,COI; 18S,s1
ITA,AdriaticEastCoast,Ven3,2021-06-23,2022-07-13,ARMS_AdriaticEastCoast_VEN3_20210623_20220713_r1_s1,ARMS_AdriaticEastCoast_VEN3_20210623_20220713_MF500,ARMS_AdriaticEastCoast_VEN_20210623_20220713,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s1
ESP,Getxo,G2,2021-07-29,2021-11-24,ARMS_Getxo_G2_20210729_20211124_r1_s1,ARMS_Getxo_G2_20210729_20211124_SF,EMOBON_Getxo_G_20210729_20211124,Sessile,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,s1
IRL,Galway,Gurr3,2020-07-23,2021-07-08,ARMS_Galway_Gurr3_20200723_20210708_r1_s1,ARMS_Galway_Gurr3_20200723_20210708_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,yes,21,COI; 18S,s1
BEL,BelgiumCoast,AJJCD89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_r1_s1,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,no,19,COI; 18S,s1
Belgium,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF500_2,Not provided,motile fraction,Not provided,Not provided,Not provided,500,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerC,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_2,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
SWE,Koster,VH3,2021-06-08,2022-06-09,ARMS_Koster_VH3_20210608_20220609_r1_s1,ARMS_Koster_VH3_20210608_20220609_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,0,,s1
ISR,Eilat,Katza2,2021-03-22,2022-03-22,ARMS_Eilat_Katza2_20210322_20220322_r1_s1,ARMS_Eilat_Katza2_20210322_20220322_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s1
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,ARMS_BelgiumCoast_CPowerA_20210623_20220622_SF40_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,19,COI; 18S,Not provided
Belgium,BelgiumCoast,CPowerB,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,ARMS_BelgiumCoast_CPowerB_20220622_20230905_SF40_2,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
BEL,BelgiumCoast,CPOWERB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_r1_s2,ARMS_BelgiumCoast_CPOWERB_20210623_20220622_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s2
DNK,Laeso,Laeso1,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811_r1_s1,ARMS_Laeso_Laeso1_20190819_20200811_MF500,ARMS_Laeso_Laeso_20190819_20200811,Motile,DMSO,first sequencing run,Not provided,500,yes,27,COI; ITS; 18S,s1
Belgium,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,ARMS_BelgiumCoast_CPowerA_20210623_20220622_MF500_2,Not provided,motile fraction,Not provided,Not provided,Not provided,500,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerA,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerA_20231023_20240718,ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF500_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
BEL,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303_r1_s1,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,no,39,COI; ITS; 18S,s1
ISR,Eilat,NR1,2020-12-27,2021-12-29,ARMS_Eilat_NR1_20201227_20211229_r1_s2,ARMS_Eilat_NR1_20201227_20211229_MF100,EMOBON_Eilat_NR_20201227_20211229,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s2
SVN,GulfOfPiran,BojaVida,2021-07-28,2022-08-16,ARMS_GulfOfPiran_BojaVida_20210728_20220816_r1_s1,ARMS_GulfOfPiran_BojaVida_20210728_20220816_MF1000,no replicate,Motile,DMSO,first sequencing run,Not provided,1000,Not provided,0,,s1
BEL,BelgiumCoast,CPowerB,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF500_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
SVN,GulfOfPiran,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118_r1_s1,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_DMSO,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,154,COI; 18S,s1
SWE,Koster,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527_r1_s1,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,yes,117,COI; ITS; 18S,s1
SWE,Koster,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716_r2_s1,ARMS_Koster_VH1_20190527_20200716_MF500,no replicate,Motile,DMSO,second sequencing run (repeat),PCR amplification and sequencing was repeated due to limited results obtained from the previous sequencing,500,not provided,36,COI; 18S,s1
BEL,BelgiumCoast,CPowerC,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_4,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
Belgium,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF100_1,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
Belgium,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100_1,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
FIN,TZS,Spikarna,2021-06-07,2021-11-22,ARMS_TZS_Spikarna_20210607_20211122_r1_s1,ARMS_TZS_Spikarna_20210607_20211122_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,18,,s1
IRL,Galway,Gurr3,2021-07-20,2022-09-07,ARMS_Galway_Gurr3_20210720_20220907_r1_s1,ARMS_Galway_Gurr3_20210720_20220907_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,Not provided,20,,s1
SWE,Koster,VH3,2021-06-08,2022-06-09,ARMS_Koster_VH3_20210608_20220609_r1_blank,ARMS_Koster_VH3_20210608_20220609_blank,no replicate,blank,DMSO,first sequencing run,Not provided,not provided,Not provided,0,,blank
GRC,Crete,1HERP,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128_r1_s1,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,125,yes,140,COI; 18S,s1
BEL,BelgiumCoast,CPowerC,2022-05-22,2023-09-05,ARMS_BelgiumCoast_CPowerC_20220522_20230905,ARMS_BelgiumCoast_CPowerC_20220622_20230905_MF100_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
FRA,Roscoff,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025_r1_s1,ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO,ARMS_Roscoff_BasBloS_20180711_20181025,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,COI; 18S,s1
ISR,Eilat,Katza1,2021-03-22,2022-03-13,ARMS_Eilat_Katza1_20210322_20220313_r1_s1,ARMS_Eilat_Katza1_20210322_20220313_MF500,no replicate,Motile,DMSO,first sequencing run,Not provided,500,not provided,0,,s1
GRC,Crete,1HERP,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012_r1_s1,ARMS_Crete_1HERP_20200903_20211012_MF500,no replicate,Sessile,Frozen,first sequencing run,Not provided,N/A (No filter was used),no,171,,s1
FRA,Roscoff,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025_r1_s1,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_A,ARMS_Roscoff_BasBloS_20180711_20181025,Sessile,DMSO,first sequencing run,Not provided,40,not provided,0,COI; ITS; 18S,s1
SWE,Koster,VH1,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608_r1_s1,ARMS_Koster_VH1_20200716_20210608_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,19,COI; 18S,s1
ITA,RavHarbour,RAVH,2021-04-22,2021-07-22,ARMS_RavHarbour_RavH2_20210422_20210722_r1_s1,ARMS_RavHarbour_RavH2_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,Motile,DMSO,first sequencing run,Not provided,100,not provided,23,COI; 18S,s1
IRL,Galway,Gurr1,2020-07-21,2021-07-08,ARMS_Galway_Gurr1_20200721_20210708_r1_s1,ARMS_Galway_Gurr1_20200721_20210708_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,yes,21,COI; 18S,s1
DNK,Laeso,Laeso2,2019-08-19,2020-08-11,ARMS_Laeso_Laeso2_20190819_20200811_r1_s1,ARMS_Laeso_Laeso2_20190819_20200811_MF500,ARMS_Laeso_Laeso_20190819_20200811,Motile,DMSO,first sequencing run,Not provided,500,yes,21,COI; 18S,s1
BEL,BelgiumCoast,CoastbustersA,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_r1_s1,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,19,COI; 18S,s1
BEL,BelgiumCoast,AJJBC89,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_r1_s1,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,no,19,COI; 18S,s1
GRC,Crete,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211_r1_s1,ARMS_Crete_2UBPC_20190924_20201211_MF500,no replicate,Motile,Frozen,first sequencing run,Not provided,500,Imperfectly,164,COI; ITS; 18S,s1
BEL,BelgiumCoast,CPowerB,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerB_20231023_20240718,ARMS_BelgiumCoast_CPowerB_20231023_20240718_SF40_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
DNK,Laeso,Laeso1,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811_r1_s1,ARMS_Laeso_Laeso1_20190819_20200811_MF100,ARMS_Laeso_Laeso_20190819_20200811,Motile,DMSO,first sequencing run,Not provided,100,yes,27,COI; ITS; 18S,s1
Belgium,BelgiumCoast,CPowerC,2022-05-22,2023-09-05,ARMS_BelgiumCoast_CPowerC_20220522_20230905,ARMS_BelgiumCoast_CPowerC_20220622_20230905_MF100_2,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
BEL,BelgiumCoast,CPowerB,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerB_20220622_20230905,ARMS_BelgiumCoast_CPowerB_20220622_20230905_SF40_1,no replicate,Motile,Not provided,Not provided,Not provided,Not provided,Not provided,18,COI; 18S,Not provided
BEL,BelgiumCoast,CPOWERC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_r1_s3,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s3
FIN,TZS,Kummelkobben,2021-06-09,2022-06-22,ARMS_TZS_Kummelkobben_20210609_20220622_r1_s1,ARMS_TZS_Kummelkobben_20210609_20220622_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,18,,s1
GBR,Plymouth,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001_r1_s1,ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,not provided,24,COI; 18S,s1
FIN,TZS,Kummelkobben,2021-06-09,2022-06-22,ARMS_TZS_Kummelkobben_20210609_20220622_r1_s1,ARMS_TZS_Kummelkobben_20210609_20220622_MF500_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,500,not provided,18,,s1
FIN,TZS,Angbat,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124_r1_s1,ARMS_TZS_Angbat_20210608_20211124_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,Not provided,19,,s1
GRC,Crete,1HERP,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618_r1_s1,ARMS_Crete_1HERP_20190612_20200618_MF90,no replicate,Motile,Frozen,first sequencing run,Not provided,90,yes,175,COI; ITS; 18S,s1
Belgium,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40_2,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
ISR,Eilat,Katza2,2021-03-22,2022-03-22,ARMS_Eilat_Katza2_20210322_20220322_r1_s2,ARMS_Eilat_Katza2_20210322_20220322_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s2
SWE,Koster,VH3,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527_r1_s1,ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,yes,109,COI; 18S,s1
ISR,Eilat,Katza3,2021-03-22,2022-03-25,ARMS_Eilat_Katza3_20210322_20220325_r1_s1,ARMS_Eilat_Katza3_20210322_20220325_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,0,,s1
ESP,Getxo,G2,2021-07-29,2021-11-24,ARMS_Getxo_G2_20210729_20211124_r1_s2,ARMS_Getxo_G2_20210729_20211124_MF100,EMOBON_Getxo_G_20210729_20211124,Motile,DMSO,first sequencing run,Not provided,100,Not provided,0,,s2
SWE,Koster,VH2,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906_r1_s1,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,no replicate,Plankton,EtOH,first sequencing run,PCR amplification and sequencing will be repeated due to limited results obtained from these sequences,90,not provided,76,ITS; 18S,s1
SWE,SWC,Bjorko1,2020-01-31,2020-05-18,ARMS_SWC_Bjorko1_20200131_20200518_r1_s1,ARMS_SWC_Bjorko1_20200131_20200518_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,36,COI; ITS; 18S,s1
ESP,Vigo,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014_r1_s1,ARMS_Vigo_TorallaB_20190625_20191014_SF40,ARMS_Vigo_Toralla_20190625_20191014,Sessile,DMSO,first sequencing run,Not provided,40,not provided,18,COI; 18S,s1
FIN,TZS,Angbat,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630_r1_s1,ARMS_TZS_Angbat_20210609_20220630_MF100_ETOH,no replicate,Motile,EtOH,first sequencing run,Not provided,100,not provided,0,,s1
BEL,BelgiumCoast,CPOWERC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_r1_s1,ARMS_BelgiumCoast_CPOWERC_20210623_20220622_SF40,no replicate,Sessile,DMSO,first sequencing run,Not provided,40,Not provided,0,,s1
DNK,Limfjord,Red2,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110_r1_s1,ARMS_Limfjord_Red2_20191029_20201110_MF500,ARMS_Limfjord_Limfjord_20191029_20201110,Motile,DMSO,first sequencing run,Not provided,500,not provided,21,COI; 18S,s1
FRA,Roscoff,BasBloS2,2020-05-29,2021-05-19,ARMS_Roscoff_BasBloS2_20200529_20210519_r1_s1,ARMS_Roscoff_BasBloS2_20200529_20210519_MF100,EMOBON_Roscoff_BasBloS_20200529_20210518,Motile,DMSO,first sequencing run,Not provided,100,Not provided,0,,s1
Belgium,BelgiumCoast,CPowerA,2022-06-22,2023-09-05,ARMS_BelgiumCoast_CPowerA_20220622_20230905,ARMS_BelgiumCoast_CPowerA_20220622_20230905_SF40_2,Not provided,sessile fraction,Not provided,Not provided,Not provided,40,Not provided,0,,Not provided
GRC,Crete,1HERP,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122_r1_s1,ARMS_Crete_1HERP_20200903_20210122_MF500,no replicate,Motile,Frozen,first sequencing run,Not provided,500,Imperfectly,163,COI; ITS; 18S,s1
SWE,SWC,Gbg1,2020-02-06,2020-05-20,ARMS_SWC_Gbg1_20200206_20200520_r1_s1,ARMS_SWC_Gbg1_20200206_20200520_MF100,no replicate,Motile,DMSO,first sequencing run,Not provided,100,not provided,44,COI; 18S,s1
FRA,Roscoff,MarBloR2,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917_r1_s1,ARMS_Roscoff_MarBloR2_20190612_20190917_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,Motile,DMSO,first sequencing run,Not provided,100,not provided,18,COI; ITS; 18S,s1
Belgium,BelgiumCoast,CPowerC,2023-10-23,2024-07-18,ARMS_BelgiumCoast_CPowerC_20231023_20240718,ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF100_2,Not provided,motile fraction,Not provided,Not provided,Not provided,100,Not provided,0,,Not provided
NOR,Svalbard,S1A,2020-08-05,2022-07-29,ARMS_Svalbard_S1A_20200805_20220729_r1_s1,ARMS_Svalbard_S1A_20200805_20220729_MF500_DMSO,ARMS_Svalbard_S1_20200805_20220729,Motile,DMSO,first sequencing run,Not provided,500,Not provided,162,,s1
