Please ignore. Just helpful for HCMR logistics --> Sequenced,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,gene_18S,18S_demultiplexed,gene_18S_negative_control,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200618_MF90,ARMS_Crete_1HERP_20190612_20200618,2019-06-12,2020-06-18,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,Yes,ARMS4_200618_Motile_90,ERR7125558,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125559,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125557,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20190612_20200618_SF,ARMS_Crete_1HERP_20190612_20200618,2019-06-12,2020-06-18,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),N/A (Not relevant information for this fraction/sample),ARMS4_200618_Sessile,ERR7125561,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125562,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125560,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210122_MF500,ARMS_Crete_1HERP_20200903_20210122,2020-09-03,2021-01-22,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,Imperfectly,ARMS5_200903-210122_Motile_500,ERR7125564,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125565,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125563,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210122_MF90,ARMS_Crete_1HERP_20200903_20210122,2020-09-03,2021-01-22,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,Imperfectly,ARMS5_200903-210122_Motile_90,ERR7125567,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125568,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125566,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210122_SF,ARMS_Crete_1HERP_20200903_20210122,2020-09-03,2021-01-22,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),Imperfectly,ARMS5_200903-210122_Sessile,ERR7125570,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125571,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125569,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626_MF500,ARMS_Crete_1HERP_20200903_20210626,2020-09-03,2021-06-26,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,No,ARMS6_Crete_1HERP_20200903_20210626_MF500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626_MF90,ARMS_Crete_1HERP_20200903_20210626,2020-09-03,2021-06-26,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,No,ARMS6_Crete_1HERP_20200903_20210626_MF90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20210626_SF,ARMS_Crete_1HERP_20200903_20210626,2020-09-03,2021-06-26,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),No,ARMS6_Crete_1HERP_20200903_20210626_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20211012_MF500,ARMS_Crete_1HERP_20200903_20211012,2020-09-03,2021-10-12,Crete,1HERP,Greece,Motile_500um,Motile,Frozen,500,No,ARMS7_Crete_1HERP_20200903_20211012_MF500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20211012_MF90,ARMS_Crete_1HERP_20200903_20211012,2020-09-03,2021-10-12,Crete,1HERP,Greece,Motile_90um,Motile,Frozen,90,No,ARMS7_Crete_1HERP_20200903_20211012_MF90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,1HERP,ARMS_Crete_1HERP_20200903_20211012_SF,ARMS_Crete_1HERP_20200903_20211012,2020-09-03,2021-10-12,Crete,1HERP,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),No,ARMS7_Crete_1HERP_20200903_20211012_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2021,Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211_MF500,ARMS_Crete_2UBPC_20190924_20201211,2019-09-24,2020-12-11,Crete,2UBPC,Greece,Motile_500um,Motile,Frozen,500,Imperfectly,ARMS_Crete_2UBPC_190924-201211_MF500,ERR7125573,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125574,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125572,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211_MF90,ARMS_Crete_2UBPC_20190924_20201211,2019-09-24,2020-12-11,Crete,2UBPC,Greece,Motile_90um,Motile,Frozen,90,Imperfectly,ARMS_Crete_2UBPC_190924-201211_MF90,ERR7125576,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125577,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125575,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Crete,2UBPC,ARMS_Crete_2UBPC_20190924_20201211_SF,ARMS_Crete_2UBPC_20190924_20201211,2019-09-24,2020-12-11,Crete,2UBPC,Greece,Sessile,Sessile,Frozen,N/A (No filter was used),Imperfectly,ARMS_Crete_2UBPC_190924-201211_SF,ERR7125579,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125580,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125578,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Send to Genoscope,Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901_SF,ARMS_Crete_2UBPC_20201120_20220901,2020-11-20,2022-09-01,Crete,2UBPC,Greece,Sessile,Sessile,Frozen,,,ARMS_Crete_2UBPC_20201120_20220901_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901_MF90,ARMS_Crete_2UBPC_20201120_20220901,2020-11-20,2022-09-01,Crete,2UBPC,Greece,Motile_90um,Motile,Frozen,90,,ARMS_Crete_2UBPC_20201120_20220901_MF90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send to Genoscope,Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901_MF500,ARMS_Crete_2UBPC_20201120_20220901,2020-11-20,2022-09-01,Crete,2UBPC,Greece,Motile_500um,Motile,Frozen,500,,ARMS_Crete_2UBPC_20201120_20220901_MF500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza1 ,ARMS_Eilat_Katza1_20181024_20200607_MF100,ARMS_Eilat_Katza1_20181024_20200607,2018-10-24,2020-06-07,Eilat,Katza1,Israel,Motile_100um,Motile,DMSO,100,,ARMS_Katza_1_181024-200607_100_1,ERR7127623,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127611,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza1 ,ARMS_Eilat_Katza1_20181024_20200607_MF500,ARMS_Eilat_Katza1_20181024_20200607,2018-10-24,2020-06-07,Eilat,Katza1,Israel,Motile_500um,Motile,DMSO,500,,ARMS_Katza_1_181024-200607_500_1,ERR7127624,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127612,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza1 ,ARMS_Eilat_Katza1_20181024_20200607_SF45,ARMS_Eilat_Katza1_20181024_20200607,2018-10-24,2020-06-07,Eilat,Katza1,Israel,Sessile_45um,Sessile,DMSO,45,,ARMS_Katza_1_181024-200607_45_1,ERR7127625,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127613,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza2 ,ARMS_Eilat_Katza2_20181024_20200803_MF100,ARMS_Eilat_Katza2_20181024_20200803,2018-10-24,2020-08-03,Eilat,Katza2,Israel,Motile_100um,Motile,DMSO,100,,ARMS_Katza_2_181024-200803_100_2,ERR7127626,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127614,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza2 ,ARMS_Eilat_Katza2_20181024_20200803_MF500,ARMS_Eilat_Katza2_20181024_20200803,2018-10-24,2020-08-03,Eilat,Katza2,Israel,Motile_500um,Motile,DMSO,500,,ARMS_Katza_2_181024-200803_500_2,ERR7127627,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127615,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,Katza2 ,ARMS_Eilat_Katza2_20181024_20200803_SF45,ARMS_Eilat_Katza2_20181024_20200803,2018-10-24,2020-08-03,Eilat,Katza2,Israel,Sessile_45um,Sessile,DMSO,45,,ARMS_Katza_2_181024-200803_45_2,ERR7127628,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127616,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR1 ,ARMS_Eilat_NR1_20181017_20200204_MF100,ARMS_Eilat_NR1_20181017_20200204,2018-10-17,2020-02-04,Eilat,NR1,Israel,Motile_100um,Motile,DMSO,100,,ARMS_NR_1_181017-200204_100_1,ERR7127629,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127617,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR1 ,ARMS_Eilat_NR1_20181017_20200204_MF500,ARMS_Eilat_NR1_20181017_20200204,2018-10-17,2020-02-04,Eilat,NR1,Israel,Motile_500um,Motile,DMSO,500,,ARMS_NR_1_181017-200204_500_1,ERR7127630,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127618,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR1 ,ARMS_Eilat_NR1_20181017_20200204_SF45,ARMS_Eilat_NR1_20181017_20200204,2018-10-17,2020-02-04,Eilat,NR1,Israel,Sessile_45um,Sessile,DMSO,45,,ARMS_NR_1_181017-200204_45_1,ERR7127631,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127619,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR2 ,ARMS_Eilat_NR2_20181017_20200524_MF100,ARMS_Eilat_NR2_20181017_20200524,2018-10-17,2020-05-24,Eilat,NR2,Israel,Motile_100um,Motile,DMSO,100,,ARMS_NR_2_181017-200524_100_2,ERR7127632,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127620,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR2 ,ARMS_Eilat_NR2_20181017_20200524_MF500,ARMS_Eilat_NR2_20181017_20200524,2018-10-17,2020-05-24,Eilat,NR2,Israel,Motile_500um,Motile,DMSO,500,,ARMS_NR_2_181017-200524_500_2,ERR7127633,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127621,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
May 2021,Eilat,NR2 ,ARMS_Eilat_NR2_20181017_20200524_SF45,ARMS_Eilat_NR2_20181017_20200524,2018-10-17,2020-05-24,Eilat,NR2,Israel,Sessile_45um,Sessile,DMSO,45,,ARMS_NR_2_181017-200524_45_2,ERR7127634,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127622,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708_MF100,ARMS_Galway_Gurr1_20200721_20210708,2020-07-21,2021-07-08,Galway,Gurr1,Ireland,Motile_100um,Motile,DMSO,100,yes,ARMS_Galway_Gurr1_200721-210708_MF100A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708_MF500,ARMS_Galway_Gurr1_20200721_20210708,2020-07-21,2021-07-08,Galway,Gurr1,Ireland,Motile_500um,Motile,DMSO,500,yes,ARMS_Galway_Gurr1_200721-210708_MF500A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708_SF40,ARMS_Galway_Gurr1_20200721_20210708,2020-07-21,2021-07-08,Galway,Gurr1,Ireland,Sessile_40um,Sessile,DMSO,40,yes,ARMS_Galway_Gurr1_200721-210708_SF40A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707_MF100,ARMS_Galway_Gurr2_20200721_20210707,2020-07-21,2021-07-07,Galway,Gurr2,Ireland,Motile_100um,Motile,DMSO,100,yes,ARMS_Galway_Gurr2_200721-210707_MF100A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707_MF500,ARMS_Galway_Gurr2_20200721_20210707,2020-07-21,2021-07-07,Galway,Gurr2,Ireland,Motile_500um,Motile,DMSO,500,yes,ARMS_Galway_Gurr2_200721-210707_MF500A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707_SF40,ARMS_Galway_Gurr2_20200721_20210707,2020-07-21,2021-07-07,Galway,Gurr2,Ireland,Sessile_40um,Sessile,DMSO,40,yes,ARMS_Galway_Gurr2_200721-210707_SF40A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708_MF100,ARMS_Galway_Gurr3_20200723_20210708,2020-07-23,2021-07-08,Galway,Gurr3,Ireland,Motile_100um,Motile,DMSO,100,yes,ARMS_Galway_Gurr3_200723-210708_MF100A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708_MF500,ARMS_Galway_Gurr3_20200723_20210708,2020-07-23,2021-07-08,Galway,Gurr3,Ireland,Motile_500um,Motile,DMSO,500,yes,ARMS_Galway_Gurr3_200723-210708_MF500A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708_SF40,ARMS_Galway_Gurr3_20200723_20210708,2020-07-23,2021-07-08,Galway,Gurr3,Ireland,Sessile_40um,Sessile,DMSO,40,yes,ARMS_Galway_Gurr3_200723-210708_SF40A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2020,Gdynia,GDY1,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,ARMS_Gdynia_GDY1_20180813_20191029,2018-08-13,2019-10-29,Gdynia,GDY1,Poland,Motile_100um,Motile,DMSO-EDTA,100,,1206_GDY_2018_MF100_DESS,ERR4018726,MiSeq (indices),ERR4018471,ERR4018724,MiSeq (indices),ERR4018473,ERR4018722,MiSeq (indices),ERR4018472,41065,26227,26234,,Fail,Warn,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Gdynia,GDY1,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,ARMS_Gdynia_GDY1_20180813_20191029,2018-08-13,2019-10-29,Gdynia,GDY1,Poland,Motile_500um,Motile,DMSO-EDTA,500,,1206_GDY_2018_MF500_DESS,ERR4018727,MiSeq (indices),ERR4018471,ERR4018725,MiSeq (indices),ERR4018473,ERR4018723,MiSeq (indices),ERR4018472,45029,19404,21334,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
April 2021,Gdynia,GDY1,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,ARMS_Gdynia_GDY1_20180813_20191029,2018-08-13,2019-10-29,Gdynia,GDY1,Poland,Sessile_38um,Sessile,DMSO-EDTA,38,,1206_GDY_2018_SF-Plate1-DESS,N/A (no successful sequencing),MiSeq (indices) / cutadapt (primers),ERR7125534,MiSeq (indices) / cutadapt (primers),MiSeq (indices) / cutadapt (primers),ERR7125535,MiSeq (indices) / cutadapt (primers),MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
January 2022,Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029_MF100,ARMS_Gdynia_GDY1_20190619_20191029,2019-06-19,2019-10-29,Gdynia,GDY1,Poland,Motile_100um,Motile,DMSO-EDTA,100,,1285_GDY_2019_MF100-DESS,ERR9632087,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632072,MiSeq (indices),ERR9632062,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029_MF500,ARMS_Gdynia_GDY1_20190619_20191029,2019-06-19,2019-10-29,Gdynia,GDY1,Poland,Motile_500um,Motile,DMSO-EDTA,500,,1285_GDY_2019_MF500-DESS,ERR7125527,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7125528,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7125526,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
January 2022,Gdynia,GDY1,ARMS_Gdynia_GDY1_20190619_20191029_SF38,ARMS_Gdynia_GDY1_20190619_20191029,2019-06-19,2019-10-29,Gdynia,GDY1,Poland,Sessile_38um,Sessile,DMSO-EDTA,38,,1285_GDY_2019_SF-Plate1-DESS,ERR9632088,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632073,MiSeq (indices),ERR9632062,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G1,ARMS_Getxo_G1_20190624_20191016_MF100,ARMS_Getxo_G1_20190624_20191016,2019-06-24,2019-10-16,Getxo,G1,Spain,Motile_100um,Motile,DMSO,100,No,Getxo-G1-MF100-A-DMSO,ERR7127704,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127693,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G1,ARMS_Getxo_G1_20190624_20191016_MF500,ARMS_Getxo_G1_20190624_20191016,2019-06-24,2019-10-16,Getxo,G1,Spain,Motile_500um,Motile,DMSO,500,No,Getxo-G1-MF500-A-DMSO,ERR7127705,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127694,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G1,ARMS_Getxo_G1_20190624_20191016_SF40,ARMS_Getxo_G1_20190624_20191016,2019-06-24,2019-10-16,Getxo,G1,Spain,Sessile_40um,Sessile,DMSO,40,No,Getxo-G1-SF40-A-DMSO,ERR7127706,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127695,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Getxo,G1,ARMS_Getxo_G1_20200624_20201103_MF100,ARMS_Getxo_G1_20200624_20201103,2020-06-24,2020-11-03,Getxo,G1,Spain,Motile_100um,Motile,DMSO,100,,Getxo-G1-MF100-A-B-C-DMSO,ERR7127667,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127668,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127666,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Getxo,G1,ARMS_Getxo_G1_20200624_20201103_MF500,ARMS_Getxo_G1_20200624_20201103,2020-06-24,2020-11-03,Getxo,G1,Spain,Motile_500um,Motile,DMSO,500,,Getxo-G1-MF500-A-B-C-DMSO,ERR7127670,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127671,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127669,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Getxo,G1,ARMS_Getxo_G1_20200624_20201103_SF40,ARMS_Getxo_G1_20200624_20201103,2020-06-24,2020-11-03,Getxo,G1,Spain,Sessile_40um,Sessile,DMSO,40,,Getxo-G1-SF40-A-B-C-DMSO,ERR7127673,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127674,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127672,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Getxo,G2,ARMS_Getxo_G2_20190624_20191016_MF100,ARMS_Getxo_G2_20190624_20191016,2019-06-24,2019-10-16,Getxo,G2,Spain,Motile_100um,Motile,DMSO,100,No,Getxo-G2-MF100-A-DMSO,ERR7127676,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127677,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127675,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G2,ARMS_Getxo_G2_20190624_20191016_MF500,ARMS_Getxo_G2_20190624_20191016,2019-06-24,2019-10-16,Getxo,G2,Spain,Motile_500um,Motile,DMSO,500,No,Getxo-G2-MF500-A-DMSO,ERR7127707,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127696,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G2,ARMS_Getxo_G2_20190624_20191016_SF40,ARMS_Getxo_G2_20190624_20191016,2019-06-24,2019-10-16,Getxo,G2,Spain,Sessile_40um,Sessile,DMSO,40,No,Getxo-G2-SF40-A-DMSO,ERR7127708,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127697,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Getxo,G2,ARMS_Getxo_G2_20200624_20201103_MF100,ARMS_Getxo_G2_20200624_20201103,2020-06-24,2020-11-03,Getxo,G2,Spain,Motile_100um,Motile,DMSO,100,,Getxo-G2-MF100-A-B-C-DMSO,ERR7127679,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127680,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127678,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Getxo,G2,ARMS_Getxo_G2_20200624_20201103_SF40,ARMS_Getxo_G2_20200624_20201103,2020-06-24,2020-11-03,Getxo,G2,Spain,Sessile_40um,Sessile,DMSO,40,,Getxo-G2-SF40-A-B-C-DMSO,ERR7127682,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127683,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127681,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
May 2021,Getxo,G3,ARMS_Getxo_G3_20190624_20191016_MF100,ARMS_Getxo_G3_20190624_20191016,2019-06-24,2019-10-16,Getxo,G3,Spain,Motile_100um,Motile,DMSO,100,No,Getxo-G3-MF100-A-DMSO,ERR7127709,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127698,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G3,ARMS_Getxo_G3_20190624_20191016_MF500,ARMS_Getxo_G3_20190624_20191016,2019-06-24,2019-10-16,Getxo,G3,Spain,Motile_500um,Motile,DMSO,500,No,Getxo-G3-MF500-A-DMSO,ERR7127710,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127699,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Getxo,G3,ARMS_Getxo_G3_20190624_20191016_SF40,ARMS_Getxo_G3_20190624_20191016,2019-06-24,2019-10-16,Getxo,G3,spain,Sessile_40um,Sessile,DMSO,40,No,Getxo-G3-SF40-A-DMSO,ERR7127711,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127700,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
April 2021,Getxo,G3,ARMS_Getxo_G3_20200624_20201103_MF100,ARMS_Getxo_G3_20200624_20201103,2020-06-24,2020-11-03,Getxo,G3,Spain,Motile_100um,Motile,DMSO,100,,Getxo-G3-MF100-A-B-C-DMSO,ERR7127685,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127686,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127684,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
